Sector_score,PARA_A,Risk_A,PARA_B,Risk_B,Money_Value,Risk_D,Score,Inherent_Risk,Audit_Risk,Risk
3.89,0,0,0.08,0.016,0.68,0.136,2,1.552,0.3104,0
3.89,1.26,0.504,0.05,0.01,0,0,2.2,1.914,0.3828,0
3.89,0,0,0.03,0.006,0.06,0.012,2,1.418,0.2836,0
3.89,0,0,0.79,0.158,15.82,9.492,2.4,11.05,2.21,1
3.89,4.76,2.856,13.03,7.818,0.58,0.116,3.8,12.59,5.036,1
3.89,8.81,5.286,9.02,3.608,215.31,129.186,3.6,139.88,55.952,1
3.89,0,0,0.07,0.014,0,0,2,1.414,0.2828,0
3.89,13.92,8.352,2.2,0.44,0.05,0.01,2.4,10.202,2.0404,1
3.89,1.07,0.428,0,0,0,0,2.2,1.828,0.3656,0
3.89,0,0,0.89,0.178,0,0,2,1.578,0.3156,0
3.89,0,0,3.98,0.796,53.34,32.004,3.2,36.8,7.36,1
3.89,10,6,74.26,44.556,11.16,6.696,4.8,61.652,67.8172,1
3.89,4.24,2.544,8.06,3.224,10.69,6.414,3.4,13.582,2.7164,1
3.89,12.27,7.362,72.46,43.476,5.69,2.276,3.8,54.514,10.9028,1
3.89,0,0,0.96,0.192,1.35,0.27,2,1.862,0.3724,0
3.89,12.7,7.62,1.28,0.256,11.69,7.014,2.8,16.29,3.258,1
3.89,0,0,63.13,37.878,14.6,8.76,3.8,48.438,19.3752,1
3.89,1.99,0.796,10.24,6.144,20.78,12.468,3.8,20.808,4.1616,1
3.89,0.05,0.01,0.21,0.042,102.22,61.332,2.8,63.984,12.7968,1
3.89,0,0,7.37,2.948,0.74,0.148,2.6,4.496,0.8992,0
3.89,0,0,3.72,0.744,0,0,2.4,7.544,21.8776,1
3.89,71.48,42.888,25.63,15.378,873.37,524.022,4,583.688,116.7376,1
3.89,0,0,0,0,0,0,2,1.4,0.28,0
3.89,0.74,0.148,1,0.2,0,0,2,1.748,0.3496,0
3.89,0,0,0.58,0.116,0,0,2,1.516,0.3032,0
3.89,8.46,5.076,72.76,43.656,1.4,0.28,4.2,52.012,52.012,1
3.89,0.42,0.084,0.07,0.014,0.42,0.084,2,1.582,0.3164,0
3.89,0.01,0.002,1.29,0.258,36.52,21.912,3,25.172,10.0688,1
3.89,6.85,4.11,65.93,39.558,6.02,2.408,4.4,49.076,19.6304,1
3.89,5.37,3.222,8.62,3.448,17.16,10.296,3.6,18.766,7.5064,1
3.89,4.93,2.958,6.54,2.616,12.91,7.746,4,16.32,6.528,1
3.89,1.22,0.488,0.06,0.012,0,0,2.4,2.3,0.92,0
3.89,0,0,0.85,0.17,0,0,2.2,1.97,0.788,0
3.89,15.72,9.432,57.94,34.764,10.79,6.474,5.2,55.47,33.282,1
3.89,4.95,2.97,42.61,25.566,3.46,0.692,4.2,31.828,25.4624,1
3.89,0,0,0.08,0.016,0.06,0.012,2.4,2.228,1.3368,1
3.89,1.19,0.476,12.88,7.728,2.33,0.466,3.8,10.87,6.522,1
3.89,0,0,2.72,0.544,5.58,2.232,2.6,4.976,2.9856,1
3.89,0,0,1.66,0.332,0.76,0.152,2.4,2.684,1.6104,1
3.89,6.47,3.882,12.18,7.308,25.27,15.162,4.4,28.552,17.1312,1
3.89,1.33,0.532,0,0,0.2,0.04,2.6,2.772,1.6632,1
3.89,0,0,1.1,0.22,0,0,2.4,2.42,1.452,1
3.89,2.57,1.542,4.49,0.898,7.56,3.024,2.8,7.264,2.9056,1
3.89,0,0,1.88,0.376,0,0,2,1.776,0.3552,0
3.89,0.77,0.154,18.31,10.986,67.03,40.218,3.6,52.758,10.5516,1
3.89,5.23,3.138,5.89,2.356,19.4,11.64,3.4,18.534,3.7068,1
3.89,6.59,3.954,23.66,14.196,34.83,20.898,4.2,40.848,16.3392,1
3.89,7.18,4.308,14.63,8.778,98.75,59.25,4,73.736,14.7472,1
3.89,1,0.4,0,0,0.36,0.072,2.2,1.872,0.3744,0
3.89,0,0,0.06,0.012,0,0,2,1.412,0.2824,0
3.89,2.63,1.578,2.55,0.51,0,0,2.4,3.488,0.6976,0
3.89,0,0,0.87,0.174,0,0,2,1.574,0.3148,0
3.89,10.96,6.576,41.47,24.882,35.21,21.126,4.2,54.384,21.7536,1
3.89,0,0,0.23,0.046,0,0,2,1.446,0.2892,0
3.41,4.25,2.55,45.51,27.306,8.2,3.28,4.2,35.736,7.1472,1
3.41,1.98,0.792,51.42,30.852,20.33,12.198,4.4,46.842,18.7368,1
3.41,1.44,0.576,29.25,17.55,35.13,21.078,3.8,40.604,8.1208,1
3.41,1.52,0.608,37.33,22.398,63.7,38.22,4.2,63.826,12.7652,1
3.41,3.63,2.178,10.85,4.34,0.28,0.056,3,7.974,1.5948,1
3.41,1.35,0.54,66.35,39.81,27.13,16.278,4.6,61.028,67.1308,1
3.41,9.97,5.982,88.73,53.238,10.27,6.162,4,66.782,13.3564,1
3.41,1.41,0.564,36.16,21.696,13.05,7.83,4.2,32.29,19.374,1
3.41,1.98,0.792,67.91,40.746,18.79,11.274,4.4,55.812,22.3248,1
3.41,10.08,6.048,22.31,13.386,16.82,10.092,4.4,32.126,6.4252,1
3.41,1.44,0.576,9.65,3.86,10.03,6.018,4,14.754,2.9508,1
3.41,25.4,15.24,51.74,31.044,12.67,7.602,4.8,57.286,68.7432,1
3.41,3.21,1.926,72.07,43.242,13.79,8.274,4.6,56.042,44.8336,1
3.41,12.28,7.368,20.62,12.372,10.16,6.096,4.2,27.636,11.0544,1
3.41,6.93,4.158,70.26,42.156,9.73,3.892,3.8,51.606,10.3212,1
3.41,3.34,2.004,37.59,22.554,26.95,16.17,4,42.128,8.4256,1
3.41,15.66,9.396,74.53,44.718,29.07,17.442,4,72.956,14.5912,1
3.41,2.92,1.752,5.24,2.096,9.76,3.904,3.2,9.152,1.8304,1
3.41,0.83,0.166,28.06,16.836,13.31,7.986,3.6,26.388,5.2776,1
3.41,1.97,0.788,30.25,18.15,0.68,0.136,3.4,20.474,4.0948,1
3.41,10,6,47.9,28.74,7.7,3.08,3.8,39.22,7.844,1
3.41,13.06,7.836,45.42,27.252,10.4,6.24,4,42.728,8.5456,1
3.41,1.35,0.54,33.25,19.95,20.62,12.372,4.2,35.462,7.0924,1
3.41,4.13,2.478,16.74,10.044,44.02,26.412,4,40.334,8.0668,1
3.41,12.62,7.572,80.06,48.036,43.53,26.118,4.6,84.726,33.8904,1
3.41,16.36,9.816,41.1,24.66,12.03,7.218,4.2,43.494,17.3976,1
3.41,12.68,7.608,41,24.6,11.88,7.128,4.4,41.936,8.3872,1
3.41,11.73,7.038,85.87,51.522,6.96,2.784,4,63.144,25.2576,1
3.41,5.15,3.09,44.67,26.802,21.07,12.642,4.4,45.134,9.0268,1
3.41,6.61,3.966,55.62,33.372,57.16,34.296,4.2,73.434,29.3736,1
3.41,8.03,4.818,94.43,56.658,10.65,6.39,4.8,71.666,57.3328,1
3.41,1.21,0.484,34.03,20.418,5.36,2.144,3.6,24.446,4.8892,1
3.41,1.64,0.656,46.21,27.726,2.45,0.49,3.4,30.272,6.0544,1
3.41,1.21,0.484,43.84,26.304,31.61,18.966,4.2,48.354,9.6708,1
3.41,1.1,0.44,87.71,52.626,34.32,20.592,4.2,76.258,15.2516,1
3.41,4.17,2.502,24.37,14.622,4.24,0.848,3.6,19.372,3.8744,1
3.41,1.08,0.432,32.71,19.626,8.38,3.352,3.6,24.81,4.962,1
3.41,12.29,7.374,25.74,15.444,22.1,13.26,4.2,37.878,15.1512,1
3.41,12.54,7.524,31.62,18.972,54.07,32.442,4,60.338,12.0676,1
3.41,17.26,10.356,44.22,26.532,27.68,16.608,4.2,55.296,22.1184,1
3.41,1.15,0.46,20.1,12.06,21.45,12.87,4.6,29.39,5.878,1
3.41,20.04,12.024,48.9,29.34,11.09,6.654,4,49.418,9.8836,1
3.41,12.17,7.302,47,28.2,10.14,6.084,4.8,45.586,9.1172,1
3.41,10.37,6.222,105.56,63.336,52.13,31.278,4.8,106.636,21.3272,1
3.41,9.67,5.802,62.25,37.35,17.02,10.212,4.4,55.964,11.1928,1
3.41,3.77,2.262,40.86,24.516,18,10.8,4,38.978,7.7956,1
3.41,4.73,2.838,60.22,36.132,69.76,41.856,4,82.226,16.4452,1
3.41,6.31,3.786,19.42,11.652,13.88,8.328,4.4,26.366,5.2732,1
3.41,5.61,3.366,1.56,0.312,4.03,0.806,2.4,5.884,1.1768,1
3.41,5.22,3.132,20.94,12.564,2.44,0.488,3.6,17.584,3.5168,1
3.41,0.31,0.062,58.12,34.872,78.98,47.388,3.8,84.122,33.6488,1
3.41,2.86,1.716,17.09,10.254,6.88,2.752,4.2,17.322,3.4644,1
3.41,16.53,9.918,72.99,43.794,5.49,2.196,4,57.708,23.0832,1
3.41,2.7,1.62,45.16,27.096,37.79,22.674,4,52.79,10.558,1
3.41,3.08,1.848,60.78,36.468,0.36,0.072,3.6,39.788,7.9576,1
3.41,2,1.2,49.19,29.514,60.88,36.528,4.2,69.042,27.6168,1
3.41,1.18,0.472,0,0,183.2,109.92,3.2,113.392,45.3568,1
3.41,1.07,0.428,0,0,10.02,6.012,2.6,7.84,1.568,1
3.41,1.07,0.428,0,0,0,0,2.6,2.628,1.5768,1
3.41,1.01,0.404,0,0,0,0,2.2,1.804,0.3608,0
3.41,0.93,0.186,0,0,0,0,2,1.586,0.3172,0
3.41,4.01,2.406,0,0,0,0,2.4,3.806,0.7612,0
3.41,0.77,0.154,0,0,0.32,0.064,2,1.618,0.3236,0
3.41,1.05,0.42,0,0,0,0,2.2,1.82,0.364,0
3.41,1.01,0.404,0,0,0.28,0.056,2.2,1.86,0.372,0
3.41,0.91,0.182,0,0,0,0,2,1.582,0.3164,0
3.41,1.12,0.448,0,0,0,0,2.2,1.848,0.3696,0
3.41,0.8,0.16,0,0,0.18,0.036,2,1.596,0.3192,0
3.41,0.65,0.13,0,0,0,0,2,1.53,0.306,0
3.41,0.63,0.126,0,0,0,0,2,1.526,0.3052,0
3.41,0.43,0.086,0,0,0,0,2,1.486,0.2972,0
3.41,1.21,0.484,0,0,0,0,2.2,1.884,0.3768,0
3.41,0.17,0.034,0,0,0,0,2,1.434,0.2868,0
3.41,0,0,0,0,0,0,2.2,1.8,0.72,0
3.41,0,0,0,0,0,0,2,1.4,0.28,0
3.41,0.07,0.014,0,0,0,0,2,1.414,0.2828,0
2.72,5.11,3.066,53.76,32.256,48.56,29.136,5.2,69.658,55.7264,1
2.72,2.46,1.476,6.72,2.688,0,0,3,5.564,1.1128,1
2.72,4.05,2.43,21.66,12.996,18.45,11.07,4.4,29.096,5.8192,1
2.72,2.81,1.686,4.6,0.92,8.44,3.376,2.6,7.382,1.4764,1
2.72,4.43,2.658,61.47,36.882,39.65,23.79,4.4,65.93,13.186,1
2.72,3.48,2.088,17.85,10.71,9.53,3.812,3.8,18.01,3.602,1
2.72,3.62,2.172,44.28,26.568,44.67,26.802,4,56.942,11.3884,1
2.72,4.34,2.604,24.13,14.478,3.42,0.684,3.6,19.166,3.8332,1
2.72,3.62,2.172,8.37,3.348,0,0,3,6.92,1.384,1
2.72,3.11,1.866,113.97,68.382,26.64,15.984,4.4,88.832,17.7664,1
2.72,1.65,0.66,20.86,12.516,16.91,10.146,3.8,24.722,4.9444,1
2.72,3.43,2.058,1.53,0.306,0,0,2.4,3.764,0.7528,0
2.72,3.84,2.304,98.67,59.202,12.9,7.74,4,70.646,14.1292,1
2.72,7.42,4.452,115.87,69.522,6.79,2.716,4.8,81.09,32.436,1
2.72,7.07,4.242,35.48,21.288,8.76,3.504,3.8,30.434,6.0868,1
2.72,3.26,1.956,5.55,2.22,0.21,0.042,3.4,6.418,3.8508,1
2.72,3.84,2.304,144.39,86.634,19.68,11.808,4.4,102.946,61.7676,1
2.72,5.5,3.3,93.26,55.956,14.27,8.562,4,69.218,13.8436,1
2.72,1.9,0.76,35.04,21.024,16.19,9.714,4.6,35.798,7.1596,1
2.72,3.5,2.1,16.09,9.654,5.03,2.012,3.8,15.166,3.0332,1
2.72,1.46,0.584,0.75,0.15,0.11,0.022,2.2,2.156,0.4312,0
2.72,4.6,2.76,54.99,32.994,14.1,8.46,4,45.614,9.1228,1
2.72,7.43,4.458,79.5,47.7,102.39,61.434,4,114.992,22.9984,1
2.72,3.51,2.106,52.89,31.734,4.26,0.852,3.6,36.092,7.2184,1
2.72,5.65,3.39,67.16,40.296,27.23,16.338,4.8,64.024,12.8048,1
2.72,1.33,0.532,0.35,0.07,0,0,2.2,2.002,0.4004,0
2.72,5.45,3.27,71.09,42.654,59.18,35.508,4.4,84.032,16.8064,1
2.72,1.73,0.692,5.64,2.256,13.35,8.01,3.2,12.358,2.4716,1
2.72,6.02,3.612,135.69,81.414,89.64,53.784,5,143.21,57.284,1
2.72,3.22,1.932,55.64,33.384,80.8,48.48,4.2,85.596,34.2384,1
2.72,2.41,1.446,5.28,2.112,8.95,3.58,3.4,8.938,3.5752,1
2.72,2.84,1.704,64.91,38.946,124.59,74.754,4.6,118.404,47.3616,1
2.72,1.75,0.7,0.57,0.114,0,0,2.4,2.614,1.0456,1
2.72,2.18,1.308,30.81,18.486,5.8,2.32,4,23.914,9.5656,1
2.72,3.26,1.956,2.81,0.562,21.6,12.96,3.8,19.878,7.9512,1
2.72,4.43,2.658,51.32,30.792,145.97,87.582,4.4,123.632,24.7264,1
2.72,5.61,3.366,99.33,59.598,76.47,45.882,4.8,113.146,22.6292,1
2.72,3.9,2.34,27.92,16.752,47.6,28.56,4,49.052,9.8104,1
2.72,2.19,1.314,0.68,0.136,28.4,17.04,2.8,19.89,3.978,1
2.72,1.56,0.624,14.64,5.856,25.97,15.582,3.2,23.462,4.6924,1
2.72,4.53,2.718,87.93,52.758,85.81,51.486,4,108.362,21.6724,1
2.72,4.97,2.982,42.19,25.314,45.37,27.222,4.4,58.118,11.6236,1
2.72,2.13,1.278,0.59,0.118,0.76,0.152,2.4,2.948,0.5896,0
2.72,3.66,2.196,15.47,9.282,1.43,0.286,3.6,13.164,2.6328,1
2.72,1.64,0.656,0.19,0.038,1.59,0.318,2.2,2.412,0.4824,0
2.72,4.9,2.94,98.71,59.226,82.99,49.794,4.6,114.96,45.984,1
2.72,5.68,3.408,67.38,40.428,86.7,52.02,4.2,97.656,39.0624,1
2.72,3.99,2.394,92.05,55.23,15.14,9.084,4.2,68.508,27.4032,1
2.72,3.47,2.082,47.07,28.242,31.38,18.828,4,50.552,10.1104,1
2.72,2.68,1.608,38.32,22.992,7.17,2.868,3.8,28.868,5.7736,1
2.72,2.13,1.278,42.64,25.584,18.24,10.944,4,39.206,7.8412,1
2.72,4.28,2.568,1264.63,758.778,58.86,35.316,5.2,801.262,961.5144,1
2.72,4.36,2.616,33.91,20.346,6.06,2.424,4.8,29.986,35.9832,1
2.72,2.23,1.338,4.54,0.908,22.8,13.68,3.2,18.126,10.8756,1
2.72,2,1.2,0.32,0.064,5.37,2.148,2.6,4.812,0.9624,0
2.72,3.04,1.824,67.37,40.422,77.47,46.482,4.8,93.028,18.6056,1
2.72,1.19,0.476,122.07,73.242,15.2,9.12,3.8,84.238,16.8476,1
2.72,1.35,0.54,0,0,680.14,408.084,3.4,412.624,82.5248,1
2.72,1.14,0.456,0,0,0.71,0.142,2.2,1.998,0.3996,0
2.72,1.51,0.604,0,0,0,0,2.2,2.004,0.4008,0
2.72,1.13,0.452,0,0,0,0,2.2,1.852,0.3704,0
2.72,1.5,0.6,0,0,1.44,0.288,2.2,2.288,0.4576,0
2.72,0.96,0.192,0,0,0,0,2,1.592,0.3184,0
2.72,1.6,0.64,0,0,0,0,2.2,2.04,0.408,0
2.72,1.34,0.536,0,0,0,0,2.4,2.336,0.9344,0
2.72,1.6,0.64,0,0,0.06,0.012,2.2,2.052,0.4104,0
2.72,1.13,0.452,0,0,0.02,0.004,2.2,1.856,0.3712,0
2.72,0,0,0,0,0,0,2,1.4,0.28,0
2.72,0,0,0,0,0,0,2,1.4,0.28,0
2.72,0.77,0.154,0,0,4.6,0.92,2,2.474,0.4948,0
2.72,1.05,0.42,0,0,0,0,2.2,1.82,0.364,0
2.72,0,0,0,0,0,0,2,1.4,0.28,0
2.72,0,0,0,0,30.85,18.51,2.4,19.91,3.982,1
2.72,0,0,0,0,0,0,2.2,1.8,0.72,0
2.72,0,0,0,0,0,0,2,1.4,0.28,0
2.72,0,0,0,0,0,0,2,1.4,0.28,0
2.72,0.84,0.168,0,0,8.21,3.284,2.2,4.852,0.9704,0
2.72,0,0,0,0,0,0,2,1.4,0.28,0
2.72,0.85,0.17,0,0,0,0,2,1.57,0.314,0
2.72,0,0,0.28,0.056,0,0,2,1.456,0.2912,0
2.72,0.61,0.122,0.07,0.014,0,0,2,1.536,0.3072,0
2.72,0,0,0.62,0.124,0,0,2,1.524,0.3048,0
2.37,3.43,2.058,1,0.4,49.31,29.586,4.2,35.444,21.2664,1
2.37,1.63,0.652,5.86,3.516,3.69,0.738,3.4,6.306,1.2612,1
2.37,3.75,2.25,1.25,0.5,11.25,6.75,4.6,14.3,8.58,1
2.37,2.29,1.374,2.64,1.584,3.08,0.616,3.6,4.974,0.9948,0
2.37,2.51,1.506,8.59,5.154,16.03,9.618,4.8,21.878,37.1926,1
2.37,2.21,1.326,5.21,3.126,3.43,0.686,3.6,6.538,1.3076,1
2.37,2.22,1.332,6.23,3.738,0.89,0.178,3.6,6.648,1.3296,1
2.37,1.67,0.668,0.39,0.078,1.43,0.286,2.2,2.432,0.4864,0
2.37,2.59,1.554,0.66,0.132,1.28,0.256,2.4,3.342,0.6684,0
2.37,2.39,1.434,7.72,4.632,5.42,2.168,4,10.034,4.0136,1
2.37,3.42,2.052,10.55,6.33,6.96,2.784,3.8,12.566,2.5132,1
2.37,3.61,2.166,2.13,1.278,5.41,2.164,4.4,8.608,8.608,1
2.37,1.86,0.744,4.51,2.706,7.27,2.908,3.6,7.758,1.5516,1
2.37,1.9,0.76,7.97,4.782,8.6,3.44,3.8,10.782,4.3128,1
2.37,3.29,1.974,6.41,3.846,3.66,0.732,3.6,7.952,1.5904,1
2.37,2.6,1.56,1.14,0.456,8.76,3.504,3.4,7.32,2.928,1
2.37,3.81,2.286,11.52,6.912,3.25,0.65,3.8,11.648,4.6592,1
2.37,2.1,1.26,5.06,3.036,5.41,2.164,3.8,7.86,1.572,1
2.37,2.22,1.332,3.4,2.04,26.28,15.768,4.2,20.94,8.376,1
2.37,0.96,0.192,0.12,0.024,0.22,0.044,2,1.66,0.332,0
2.37,0.81,0.162,4.6,2.76,1.82,0.364,3.2,4.686,0.9372,0
2.37,1.25,0.5,0.02,0.004,0.82,0.164,2.2,2.068,0.4136,0
2.37,1.65,0.66,0.02,0.004,27.99,16.794,2.6,18.858,3.7716,1
2.37,1.65,0.66,0.02,0.004,2.47,0.494,2.2,2.558,0.5116,0
2.37,2.13,1.278,0.11,0.022,7.54,3.016,2.6,5.716,1.1432,1
2.37,0.44,0.088,0.02,0.004,27.1,16.26,2.8,18.552,11.1312,1
2.37,1.31,0.524,0.12,0.024,0,0,3,3.948,2.3688,1
2.37,0.39,0.078,0.14,0.028,0.58,0.116,2,1.622,0.3244,0
2.37,1,0.4,1.1,0.44,0,0,2.8,2.24,0.448,0
2.37,0.42,0.084,0.27,0.054,0,0,2,1.538,0.3076,0
2.37,1.07,0.428,0.59,0.118,0,0,2.2,1.946,0.3892,0
2.37,1.29,0.516,0.25,0.05,0,0,2.2,1.966,0.3932,0
2.37,0.02,0.004,0.87,0.174,0.04,0.008,2,1.586,0.3172,0
2.37,1.46,0.584,0.55,0.11,0.67,0.134,2.2,2.228,0.4456,0
2.37,0.84,0.168,0.06,0.012,0.72,0.144,2,1.724,0.3448,0
2.37,0.66,0.132,1.37,0.548,0.84,0.168,2.8,2.648,1.0592,1
2.37,0.53,0.106,5.4,3.24,0.72,0.144,3.2,4.89,0.978,0
2.37,0.39,0.078,0.47,0.094,0,0,2,1.572,0.3144,0
2.37,0.51,0.102,0.47,0.094,0,0,2,1.596,0.3192,0
2.37,0.47,0.094,0.29,0.058,0.07,0.014,2,1.566,0.3132,0
2.37,3.35,2.01,0.99,0.198,0.12,0.024,2.4,3.632,0.7264,0
2.37,0.32,0.064,0.49,0.098,6.73,2.692,2.6,5.054,3.0324,1
2.37,0.51,0.102,0,0,0,0,2.4,2.302,1.3812,1
2.37,0,0,0,0,0.05,0.01,2,1.41,0.282,0
2.37,0.31,0.062,0.69,0.138,0,0,2,1.6,0.32,0
2.37,0.61,0.122,1.54,0.616,0.57,0.114,2.6,2.252,0.4504,0
2.37,0.26,0.052,0.17,0.034,0,0,2,1.486,0.2972,0
2.37,0.73,0.146,0.05,0.01,6.14,2.456,2.6,4.812,2.8872,1
2.37,0,0,0,0,0,0,2.4,2.2,1.32,1
2.37,1.27,0.508,1.01,0.404,1.15,0.23,2.8,2.542,0.5084,0
2.37,1.62,0.648,0.49,0.098,0,0,2.2,2.146,0.4292,0
2.37,1.54,0.616,0.46,0.092,0.57,0.114,2.2,2.222,0.4444,0
2.37,2.18,1.308,0.93,0.186,0,0,2.8,3.694,2.2164,1
2.37,7.59,4.554,1.47,0.588,36.29,21.774,4.2,30.316,18.1896,1
2.37,0.76,0.152,0.34,0.068,0,0,2.4,2.42,1.452,1
2.37,0.38,0.076,0.85,0.17,0.04,0.008,2,1.654,0.3308,0
2.37,1.29,0.516,0.13,0.026,0,0,2.2,1.942,0.3884,0
2.37,1.99,0.796,0.63,0.126,0,0,2.2,2.322,0.4644,0
2.37,0,0,0,0,0,0,2,1.4,0.28,0
2.37,0.02,0.004,0.05,0.01,0,0,2,1.414,0.2828,0
2.37,0.14,0.028,0.08,0.016,0,0,2,1.444,0.2888,0
2.37,0.09,0.018,0,0,0,0,2,1.418,0.2836,0
2.37,0,0,0,0,0,0,2,1.4,0.28,0
2.37,0,0,0,0,0,0,2,1.4,0.28,0
2.37,0.01,0.002,0.007,0.0014,0,0,2,1.4034,0.28068,0
2.37,0.17,0.034,0.04,0.008,0,0,2,1.442,0.2884,0
2.37,1.66,0.664,0.83,0.166,0.31,0.062,2.6,3.092,1.8552,1
2.37,0.5,0.1,0.04,0.008,0,0,2.4,2.308,1.3848,1
2.37,0.9,0.18,0.29,0.058,1.22,0.244,2.4,2.682,1.6092,1
2.37,0,0,0,0,0.23,0.046,2.4,2.246,1.3476,1
1.99,57.03,34.218,134.33,80.598,844.37,506.622,4,622.838,124.5676,1
1.99,0.58,0.116,0,0,0,0,2,1.516,0.3032,0
1.99,1.52,0.608,0,0,6.96,2.784,2.4,4.792,0.9584,0
1.99,0.9,0.18,0,0,1.95,0.39,2,1.97,0.394,0
1.99,1.19,0.476,0,0,0,0,2.2,1.876,0.3752,0
1.99,0.53,0.106,0,0,2.33,0.466,2,1.972,0.3944,0
1.99,0.93,0.186,0,0,0.11,0.022,2,1.608,0.3216,0
1.99,1.89,0.756,0,0,0,0,2.2,2.156,0.4312,0
1.99,1.71,0.684,0,0,0.09,0.018,2.2,2.102,0.4204,0
